,Id,R,Nome,Squadra,Qt.A,Qt.I,Diff.,Qt.A M,Qt.I M,Diff.M,FVM,FVM M,Prezzo,Kap.,350K (8),350K (10),500K (8),500K (10),Titolarita,Bonus,Nome2
0,Sommer-Inter,P,Sommer,Inter,19.0,18.0,1.0,19.0,18.0,1.0,110.0,110.0,33.0,23.0,50.8,58.42,53.36,58.05,90.0,0.0,Yann
1,Gregorio-Juventus,P,Di Gregorio,Juventus,18.0,17.0,1.0,18.0,17.0,1.0,110.0,110.0,33.0,21.0,45.55,52.73,41.28,53.65,80.0,0.0,Michele
2,Meret-Napoli,P,Meret,Napoli,15.0,15.0,0.0,15.0,15.0,0.0,75.0,75.0,27.0,16.0,28.74,32.56,30.07,33.62,80.0,0.0,Alex
3,Maignan-Milan,P,Maignan,Milan,14.0,15.0,-1.0,14.0,15.0,-1.0,71.0,71.0,27.0,18.0,29.02,34.92,28.81,37.84,90.0,0.0,Mike
4,Svilar-Roma,P,Svilar,Roma,14.0,13.0,1.0,14.0,13.0,1.0,70.0,70.0,24.0,17.0,24.74,25.93,24.27,28.55,80.0,0.0,Mile
5,Skorupski-Bologna,P,Skorupski,Bologna,12.0,11.0,1.0,12.0,11.0,1.0,50.0,50.0,12.0,16.0,18.85,21.65,17.5,21.9,80.0,0.0,Lukasz
6,Milinkovic-Torino,P,Milinkovic-Savic V.,Torino,12.0,10.0,2.0,12.0,10.0,2.0,52.0,52.0,15.0,15.0,19.71,20.64,16.5,21.28,80.0,0.0,Vanja
7,Carnesecchi-Atalanta,P,Carnesecchi,Atalanta,12.0,13.0,-1.0,12.0,13.0,-1.0,54.0,54.0,21.0,15.0,21.47,27.96,20.64,27.2,75.0,0.0,Marco
8,Provedel-Lazio,P,Provedel,Lazio,11.0,12.0,-1.0,11.0,12.0,-1.0,60.0,60.0,18.0,16.0,18.29,22.94,21.23,23.36,85.0,0.0,Ivan
9,Terracciano-Fiorentina,P,Terracciano,Fiorentina,11.0,11.0,0.0,11.0,11.0,0.0,20.0,20.0,0.5,15.0,17.05,18.55,14.82,19.09,65.0,0.0,Pietro
