"TABLE 1","","","","",""
"#","R.","Nome","Squadra","FVM","Quot ."
"Atalanta","","","","",""
"# 1","P ( Por )","Carnesecchi","Atalanta","16 ( 16 )","10 ( 10 )"
"# 2","P ( Por )","Musso","Atalanta","20 ( 20 )","4 ( 4 )"
"# 3","P ( Por )","Rossi F.","Atalanta","1 ( 1 )","1 ( 1 )"
"# 4","D ( E )","Zappacosta","Atalanta","46 ( 42 )","15 ( 14 )"
"# 5","D ( E )","Bakker","Atalanta","30 ( 28 )","11 ( 10 )"
"# 6","D ( Ds , Dc )","Kolasinac","Atalanta","22 ( 27 )","9 ( 10 )"
"# 7","D ( DC )","Scalvini","Atalanta","30 ( 30 )","9 ( 9 )"
"# 8","D ( DC )","Toloi","Atalanta","14 ( 14 )","8 ( 8 )"
"# 9","D ( DC )","Djimsiti","Atalanta","14 ( 14 )","7 ( 7 )"
"# 10","D ( E )","Hateboer","Atalanta","12 ( 10 )","6 ( 6 )"
"# 11","D ( DC )","Palomino","Atalanta","8 ( 8 )","6 ( 6 )"
"# 12","D ( Dd , Ds , E )","Zortea","Atalanta","4 ( 5 )","6 ( 6 )"
"# 13","D ( DS , E )","Ruggeri","Atalanta","7 ( 7 )","4 ( 5 )"
"# 14","D ( DC )","Okoli","Atalanta","4 ( 4 )","2 ( 2 )"
"# 15","D ( E )","Soppy","Atalanta","3 ( 3 )","2 ( 2 )"
"# 16","C ( C , T )","Koopmeiners","Atalanta","112 ( 112 )","24 ( 24 )"
"# 17","C ( T )","Pasalic","Atalanta","38 ( 36 )","13 ( 12 )"
"# 18","C ( M , C )","De Roon","Atalanta","18 ( 22 )","11 ( 12 )"
"# 19","C ( C , T )","Ederson D.S.","Atalanta","20 ( 20 )","11 ( 11 )"
"# 20","C ( T , A )","Miranchuk","Atalanta","12 ( 12 )","9 ( 9 )"
"# 21","C ( T )","De Ketelaere","Atalanta","41 ( 37 )","8 ( 8 )"
"# 22","C ( M , C )","Adopo","Atalanta","4 ( 5 )","3 ( 3 )"
