,RT,Squadra,Nome,Kap.,350K (8),350K (10),500K (8),500K (10)
1,A,Monza,MARIC Mirko,0,,,,
2,C,Venezia,EL HADDAD Saad,0,,,,
3,P,Roma,RYAN Mathew,1,3.80,3.35,1.48,1.58
4,P,Udinese,PADELLI Daniele,1,,1.26,,0.53
5,P,Milan,SPORTIELLO Marco,1,1.52,1.74,0.98,1.21
6,P,Genoa,SOMMARIVA Daniele,1,,1.26,,
7,P,Torino,DONNARUMMA Antonio,1,,1.12,,0.44
8,P,Inter,DI GENNARO Raffaele,1,3.82,3.42,,0.51
9,P,Napoli,CONTINI Nikita,1,,1.13,,0.50
10,P,Atalanta,ROSSI Francesco,1,,1.13,,0.53
11,P,Juventus,PINSOGLIO Carlo,1,3.87,3.47,0.94,1.20
12,C,Empoli,BELARDINELLI Luca,1,,1.26,,
13,P,Empoli,BRANCOLINI Federico,1,,,,
14,P,Como,VIGORITO Mauro,1,,,,
15,C,Serie Minori,LELLA Nunzio,1,,1.26,,3.85
16,P,Serie Minori,CHIORRA Niccolo,1,,,,
17,P,Lazio,FURLANETTO Alessio,1,,1.12,,0.50
18,P,Verona,BERARDI Alessandro,1,,,,1.06
19,P,Parma,CORVI Edoardo,1,,1.26,,
20,P,Cagliari,CIOCCI Giuseppe,1,,1.15,,
21,P,Venezia,STANKOVIC Filip,1,,,,1.06
22,P,Udinese,SAVA Razvan,1,,,,
23,P,Serie Minori,BOER Pietro,1,,,,
24,P,Serie Minori,RINALDI Filippo,1,,,,
25,P,Torino,PALEARI Alberto,1,,1.14,,
26,A,Empoli,EKONG Emmanuel,1,,1.26,,
27,P,Venezia,BERTINATO Bruno,1,,,,
28,P,Bologna,BAGNOLINI Nicola,1,,1.26,,
29,P,Milan,NAVA Lapo,1,1.75,1.88,,0.53
30,D,Serie Minori,GUARINO Gabriele,1,,1.26,,
31,C,Serie Minori,DEGLI INNOCENTI Duccio,1,,,,
32,P,Lecce,SAMOOJA Jasper,1,,,,
33,P,Serie Minori,SORRENTINO Alessandro,1,,,,
34,P,Verona,PERILLI Simone,1,,,,1.06
35,C,Lecce,CORFITZEN Jeppe,1,,1.26,,
36,C,Serie Minori,AMATUCCI Lorenzo,1,,,,
37,C,Roma,PISILLI Niccolo,1,,1.16,,0.53
38,A,Monza,DIAW Davide,1,,1.26,,9.63
39,P,Torino,POPA Mihai,1,,1.26,,
40,C,Milan,ZEROLI Kevin,1,,1.26,,
41,P,Fiorentina,MARTINELLI Tomasso,1,,,,
42,C,Empoli,MARIANUCCI Luca,1,,2.53,,
43,A,Lecce,BURNETE Rares,1,,2.53,,
44,A,Torino,NJIE Alieu,1,,1.26,,
45,A,Cagliari,MUTANDWA Kingstone,1,,1.89,,
46,P,Lazio,MANDAS Christos,1,2.32,2.22,1.30,1.44
47,A,Roma,JOAO COSTA -,1,,,,1.92
48,A,Estero,JOAO COSTA -,1,,,,1.92
49,A,Verona,CRUZ Juan Manuel,1,,1.26,,9.63
50,A,Genoa,PAPADOPOULOS Christos,1,,1.26,,
51,D,Genoa,PITTINO Tommaso,1,,1.26,,0.44
52,P,Roma,MARIN Renato,1,,1.09,,0.53
53,P,Bologna,BYAR Naïm,1,,,,
54,P,Cagliari,SHERRI Alen,1,,1.20,,
55,C,Juventus,ADZIC Vasilije,1,,1.20,,0.53
56,P,Lecce,FRUCHTL Christian,1,,,,
57,P,Milan,TORRIANI Lorenzo,1,4.65,4.07,,0.51
58,C,Milan,LIBERALI Mattia,1,,1.20,,
59,P,Parma,CHICHIZOLA Leandro,1,,0.87,,
60,D,Roma,SANGARE Buba,1,,1.26,,
61,C,Roma,GRAZIANI Leonardo,1,,1.26,,
62,P,Venezia,GRANDI Matteo,1,,,,
63,C,Venezia,DOUMBIA Issa,1,,1.26,,0.44
64,D,Genoa,MARCANDALLI Alessandro,1,,1.26,,0.44
65,A,Genoa,EKHATOR Jeff,1,,1.26,,
66,A,Genoa,ACCORNERO Federico,1,,1.26,,
67,C,Verona,SISHUBA Ayanda,1,,1.26,,
68,P,Genoa,LEALI Nicola,2,,1.01,,
69,C,Serie Minori,JAJALO Mato,2,,2.53,,
70,P,Serie Minori,RADUNOVIC Boris,2,,,,
71,P,Serie Minori,RADUNOVIC Boris,2,,,,
72,P,Atalanta,RUI PATRICIO -,2,3.36,3.21,1.03,1.45
73,D,Genoa,PAJAC Marko,2,,2.53,,
74,P,Empoli,PERISAN Samuele,2,,1.26,,
75,P,Bologna,RAVAGLIA Federico,2,2.31,2.36,,0.88
76,D,Monza,BETTELLA Davide,2,,,,
77,D,Serie Minori,BETTELLA Davide,2,,,,
78,C,Torino,HORVATH Krisztofer,2,,2.53,,
79,C,Estero,HORVATH Krisztofer,2,,2.53,,
80,D,Udinese,EBOSSE Enzo,2,,1.84,,
81,C,Torino,DEMBELE Ali,2,,2.53,,
82,D,Serie Minori,CASSANDRO Tommaso,2,,,,
83,C,Torino,CIAMMAGLICHELLA Aaron,2,,,,
84,D,Genoa,MATTURRO Alan,2,,2.53,,
85,D,Fiorentina,COMUZZO Pietro,2,,1.47,,1.50
86,D,Bologna,CORAZZA Tommaso,2,,2.53,,
87,D,Empoli,GOGLICHIDZE Saba,2,,1.26,,1.76
88,A,Genoa,ANKEYE David,2,,1.68,,
89,D,Como,KOVACIK Peter,2,,2.53,,0.48
90,D,Estero,KOVACIK Peter,2,,2.53,,0.48
91,A,Como,JASIM Ali,2,,1.84,,
92,A,Estero,GIOACCHINI Nicholas,2,,,,
93,A,Parma,KOWALSKI Mateusz,2,,1.68,,1.76
94,A,Parma,PARTIPILO Anthony,2,,,,
95,A,Serie Minori,PARTIPILO Anthony,2,,,,
96,D,Venezia,LUCCHESI Lorenzo,2,,2.53,,
97,D,Serie Minori,LUCCHESI Lorenzo,2,,2.53,,
98,P,Monza,CRAGNO Alessio,3,,1.08,,
99,P,Como,REINA Pepe,3,1.35,9.76,,1.77
100,D,Parma,DI CHIARA Gianluca,3,,3.80,,
101,C,Como,KONE Ben Lhassine,3,,,,
102,P,Monza,PIZZIGNACCO Semuel,3,,3.32,,1.59
103,D,Parma,BALOGH Botond,3,,3.30,,0.92
104,A,Parma,CHARPENTIER Gabriel,3,,,,
105,C,Fiorentina,BIANCO Alessandro,3,,,,
106,C,Monza,BIANCO Alessandro,3,,,,
107,D,Venezia,SVOBODA Michael,3,,2.65,,2.65
108,C,Venezia,CRNIGOJ Domen,3,,3.80,,
109,C,Genoa,BOHINEN Emil,3,,,,
110,C,Estero,LISTKOWSKI Marcin,3,,,,
111,D,Torino,DELLAVALLE Alessandro,3,,,,
112,D,Serie Minori,DELLAVALLE Alessandro,3,,,,
113,P,Inter,MARTINEZ Josep,3,1.57,2.78,1.45,2.33
114,D,Verona,GHILARDI Daniele,3,,3.80,,
115,P,Fiorentina,CHRISTENSEN Oliver,3,,1.12,,2.65
116,C,Atalanta,PALESTRA Marco,3,,,,
117,A,Milan,CAMARDA Francesco,3,,5.48,1.94,4.05
118,C,Verona,BELAHYANE Reda,3,,2.24,,2.65
119,C,Como,CHAJIA Moutir,3,,,,
120,P,Juventus,PERIN Mattia,4,3.39,3.42,1.74,2.52
121,A,Como,CERRI Alberto,4,,5.06,,
122,D,Como,SALA Marco,4,,,,
123,C,Serie Minori,DI PARDO Alessandro,4,,,,
124,P,Napoli,CAPRILE Elia,4,2.97,3.05,1.23,2.36
125,C,Parma,CAMARA Drissa,4,,,,
126,D,Milan,TERRACCIANO Filippo,4,,2.53,,3.53
127,D,Parma,VALENTI Lautaro,4,,6.33,,
128,D,Cagliari,OBERT Adam,4,,,,
129,C,Venezia,HAPS Ridgeciano,4,,,,
130,D,Empoli,SAMBIA Junior,4,,,,
131,C,Torino,GINEITIS Gvidas,4,,1.26,,
132,C,Fiorentina,INFANTINO Gino,4,,,,
133,D,Bologna,ILIC Mihajlo,4,,,,4.24
134,A,Udinese,BRAVO Iker,4,,5.86,,1.76
135,C,Estero,ESTEVES Goncalo do Lago Pontes,4,,0.95,,
136,D,Empoli,DE SCIGLIO Mattia,5,,3.11,,1.36
137,D,Bologna,DE SILVESTRI Lorenzo,5,,,,5.30
138,D,Como,BARBA Federico,5,,,,2.73
139,C,Empoli,HAAS Nicolas,5,,,,
140,C,Serie Minori,BELLEMO Alessandro,5,,,,
141,P,Estero,MUSSO Juan,5,,0.73,,
142,C,Serie Minori,MACHIN José,5,,,,
143,D,Venezia,CARBONI Franco Ezequiel,5,,,,
144,A,Venezia,RAIMONDO Antonio,5,,6.33,,
145,C,Lecce,BERISHA Medon,5,,,,
146,C,Estero,CAJUSTE Jens,5,,,,5.30
147,C,Juventus,HASA Luis,5,,,,
148,C,Lecce,HASA Luis,5,,,,
149,D,Cagliari,WIETESKA Mateusz,5,,4.22,,5.30
150,D,Torino,SAZONOV Saba,5,,0.84,,
151,D,Empoli,SAZONOV Saba,5,,0.84,,
152,D,Serie Minori,IOANNOU Nicholas,5,,,,
153,A,Como,GABRIELLONI Alessandro,5,,,,
154,D,Juventus,SAVONA Nicolo,5,7.55,7.81,4.82,4.62
155,D,Verona,OKOU Yllan,5,,1.15,,
156,D,Lecce,JEAN Gaby,5,,,,
157,C,Udinese,ATTA Arthur,5,,,,
158,D,Napoli,JESUS Juan,6,,,,6.36
159,A,Lecce,SANSONE Nicola,6,,,,
160,C,Como,BASELLI Daniele,6,,7.60,,
161,D,Como,GOLDANIGA Edoardo,6,,7.60,,3.18
162,D,Atalanta,TOLOI Rafael,6,,0.70,,7.42
163,D,Udinese,KABASELE Christian,6,,3.27,,
164,A,Torino,PELLEGRI Pietro,6,,,,
165,A,Empoli,PELLEGRI Pietro,6,,,,
166,D,Milan,GABBIA Matteo,6,,2.35,,0.48
167,D,Estero,KARSDORP Rick,6,,,,
168,D,Bologna,BONIFAZI Kevin,6,,,,
169,D,Lecce,BONIFAZI Kevin,6,,,,
170,C,Cagliari,ADOPO Ndary,6,,,,
171,C,Bologna,URBANSKI Kacper,6,,,,
172,D,Estero,OSTIGARD Leo,6,,,,
173,D,Empoli,CACACE Liberato,6,,0.84,,
174,A,Juventus,MBANGULA Samuel,6,8.15,9.58,3.56,6.73
175,C,Cagliari,AZZI Paulo,6,,4.43,,
176,C,Udinese,ZARRAGA Oier,6,,,,
177,D,Como,IOVINE Alessio,6,,3.33,,0.48
178,D,Parma,COULIBALY Woyo,6,2.46,3.09,,4.14
179,A,Udinese,PIZARRO Damian,6,,,,
180,C,Venezia,SAGRADO Richie,6,,,,
181,D,Como,KEMPF Marc,6,,7.60,,2.91
182,D,Fiorentina,MORENO Matías,6,,2.53,,
183,A,Lazio,PEDRO -,7,,,,
184,C,Lazio,AKPA AKPRO Jean-Daniel,7,,,,
185,D,Milan,FLORENZI Alessandro,7,,,,
186,D,Monza,D'AMBROSIO Danilo,7,,1.15,,
187,D,Lazio,HYSAJ Elseid,7,,,,
188,C,Napoli,MARIO RUI Silva Duarte,7,,10.36,,0.53
189,C,Venezia,ZAMPANO Francesco,7,,3.63,,
190,C,Fiorentina,CATALDI Danilo,7,,2.64,,
191,C,Torino,MASINA Adam,7,1.16,2.54,1.00,3.41
192,C,Torino,LINETTY Karol,7,,3.03,,0.53
193,D,Lazio,PELLEGRINI Luca,7,,,,7.42
194,A,Torino,KARAMOH Yann,7,,5.91,,
195,C,Torino,RADONJIC Nemanja,7,,,,
196,C,Estero,RADONJIC Nemanja,7,,,,
197,C,Cagliari,FELICI Mattia,7,,3.45,,10.31
198,D,Monza,CARBONI Andrea,7,2.13,7.38,,3.09
199,C,Parma,CYPRIEN Wylan,7,,6.90,,
200,D,Parma,OSORIO Yordan,7,,0.84,,0.96
201,D,Empoli,STOJANOVIC Petar,7,,,,
202,D,Serie Minori,STOJANOVIC Petar,7,,,,
203,C,Atalanta,SULEMANA -,7,,,,
204,C,Udinese,ZEMURA Jordan,7,,,,
205,C,Atalanta,BAKKER Mitchel,7,,,,
206,C,Estero,BAKKER Mitchel,7,,,,
207,D,Inter,BISSECK Yann Aurel,7,2.97,3.13,2.67,8.52
208,C,Lecce,KABA Mohamed,7,,,,
209,C,Torino,PEDERSEN Marcus,7,,1.26,,
210,D,Cagliari,CHATZIDIAKOS Pantelis,7,,,,7.42
211,D,Estero,CHATZIDIAKOS Pantelis,7,,,,7.42
212,C,Verona,DANI SILVA -,7,,,,
213,D,Venezia,SVERKO Marin,7,,4.09,,6.18
214,C,Venezia,KOFOD ANDERSEN Magnus,7,,0.69,,
215,D,Inter,PALACIOS Tomas,7,,8.93,,
216,D,Estero,RUGANI Daniele,8,,,,8.48
217,D,Verona,FARAONI Davide,8,,0.84,,8.48
218,A,Cagliari,PAVOLETTI Leonardo,8,,,,
219,C,Monza,VALOTI Mattia,8,,3.45,,
220,C,Cagliari,DEIOLA Alessandro,8,,1.26,,
221,D,Verona,CECCHERINI Federico,8,,,,
222,D,Serie Minori,CECCHERINI Federico,8,,,,
223,C,Monza,PEREIRA Pedro,8,,,,
224,C,Cagliari,JANKTO Jakub,8,,,,
225,C,Napoli,ZERBIN Alessio,8,,,,
226,C,Estero,HATEBOER Hans,8,,,,
227,D,Venezia,ALTARE Giorgio,8,,1.94,,7.77
228,D,Bologna,LYKOGIANNIS Charalampos,8,,3.60,,9.01
229,C,Venezia,CANDELA Antonio,8,,1.11,,4.06
230,D,Empoli,EBUEHI Tyronne,8,,,,
231,D,Empoli,WALUKIEWICZ Sebastian,8,,6.86,,0.50
232,D,Torino,WALUKIEWICZ Sebastian,8,,6.86,,0.50
233,D,Juventus,DJALO Tiago,8,,1.05,,
234,D,Estero,DJALO Tiago,8,,1.05,,
235,C,Torino,VOJVODA Mergim,8,1.46,1.51,2.94,
236,C,Fiorentina,BOVE Edoardo,8,4.39,3.79,,4.77
237,C,Inter,ASLLANI Kristjan,8,2.54,7.51,,3.53
