,,RT,Squadra,Nome,Kap.,350K (8),350K (10),500K (8),500K (10),M.V.,Pres.
0, ,"
                        
                                                  A
                        

                        ",Monza,MARIC Mirko,0,,,,,,
1, ,"
                        
                                                  C
                        

                        ",Venezia,EL HADDAD Saad,0,,,,,,
2, ,"
                        
                                                  P
                        

                        ",Roma,RYAN Mathew,1,,0.99,0.94,1.06,,
3, ,"
                        
                                                  P
                        

                        ",Udinese,PADELLI Daniele,1,,1.26,,0.53,,
4, ,"
                        
                                                  P
                        

                        ",Milan,SPORTIELLO Marco,1,1.13,1.37,,0.51,,
5, ,"
                        
                                                  P
                        

                        ",Genoa,SOMMARIVA Daniele,1,,1.26,,,,
6, ,"
                        
                                                  P
                        

                        ",Torino,DONNARUMMA Antonio,1,,1.26,,,,
7, ,"
                        
                                                  P
                        

                        ",Inter,DI GENNARO Raffaele,1,,1.09,,0.53,,
8, ,"
                        
                                                  P
                        

                        ",Napoli,CONTINI Nikita,1,,1.13,,0.53,,
9, ,"
                        
                                                  P
                        

                        ",Atalanta,ROSSI Francesco,1,,1.22,,0.53,,
10, ,"
                        
                                                  P
                        

                        ",Juventus,PINSOGLIO Carlo,1,4.73,4.07,,0.51,,
11, ,"
                        
                                                  C
                        

                        ",Empoli,BELARDINELLI Luca,1,,1.26,,,,
12, ,"
                        
                                                  P
                        

                        ",Empoli,BRANCOLINI Federico,1,,,,,,
13, ,"
                        
                                                  P
                        

                        ",Como,VIGORITO Mauro,1,,,,,,
14, ,"
                        
                                                  C
                        

                        ",Serie Minori,LELLA Nunzio,1,,1.26,,3.85,,
15, ,"
                        
                                                  P
                        

                        ",Serie Minori,CHIORRA Niccolo,1,,,,,,
16, ,"
                        
                                                  P
                        

                        ",Lazio,FURLANETTO Alessio,1,,1.05,,0.48,,
17, ,"
                        
                                                  P
                        

                        ",Verona,BERARDI Alessandro,1,,0.84,,1.06,,
18, ,"
                        
                                                  P
                        

                        ",Parma,CORVI Edoardo,1,,1.26,,,,
19, ,"
                        
                                                  P
                        

                        ",Cagliari,CIOCCI Giuseppe,1,,1.15,,,,
20, ,"
                        
                                                  P
                        

                        ",Venezia,STANKOVIC Filip,1,,,,1.06,,
21, ,"
                        
                                                  P
                        

                        ",Udinese,SAVA Razvan,1,,,,,,
22, ,"
                        
                                                  P
                        

                        ",Serie Minori,BOER Pietro,1,,,,,,
23, ,"
                        
                                                  P
                        

                        ",Serie Minori,RINALDI Filippo,1,,,,,,
24, ,"
                        
                                                  P
                        

                        ",Torino,PALEARI Alberto,1,,1.26,,,,
25, ,"
                        
                                                  A
                        

                        ",Empoli,EKONG Emmanuel,1,,1.26,,,,
26, ,"
                        
                                                  P
                        

                        ",Venezia,BERTINATO Bruno,1,,,,,,
27, ,"
                        
                                                  P
                        

                        ",Bologna,BAGNOLINI Nicola,1,,1.15,,,,
28, ,"
                        
                                                  P
                        

                        ",Milan,NAVA Lapo,1,,1.15,,0.53,,
29, ,"
                        
                                                  D
                        

                        ",Serie Minori,GUARINO Gabriele,1,,1.26,,,,
30, ,"
                        
                                                  C
                        

                        ",Serie Minori,DEGLI INNOCENTI Duccio,1,,,,,,
31, ,"
                        
                                                  P
                        

                        ",Lecce,SAMOOJA Jasper,1,,,,,,
32, ,"
                        
                                                  P
                        

                        ",Serie Minori,SORRENTINO Alessandro,1,,,,,,
33, ,"
                        
                                                  P
                        

                        ",Verona,PERILLI Simone,1,,0.84,,1.06,,
34, ,"
                        
                                                  C
                        

                        ",Lecce,CORFITZEN Jeppe,1,,1.26,,,,
35, ,"
                        
                                                  C
                        

                        ",Serie Minori,AMATUCCI Lorenzo,1,,,,,,
36, ,"
                        
                                                  C
                        

                        ",Roma,PISILLI Niccolo,1,,1.20,,,,
37, ,"
                        
                                                  A
                        

                        ",Monza,DIAW Davide,1,,1.05,,9.63,,
38, ,"
                        
                                                  P
                        

                        ",Torino,POPA Mihai,1,,1.26,,,,
39, ,"
                        
                                                  C
                        

                        ",Milan,ZEROLI Kevin,1,,0.84,,1.06,,
40, ,"
                        
                                                  P
                        

                        ",Fiorentina,MARTINELLI Tomasso,1,,,,,,
41, ,"
                        
                                                  C
                        

                        ",Empoli,MARIANUCCI Luca,1,,2.53,,,,
42, ,"
                        
                                                  A
                        

                        ",Lecce,BURNETE Rares,1,,2.53,,,,
43, ,"
                        
                                                  A
                        

                        ",Torino,NJIE Alieu,1,,1.26,,,,
44, ,"
                        
                                                  A
                        

                        ",Cagliari,MUTANDWA Kingstone,1,,1.26,,,,
